見出し,表記
たいしゃ,退社
だいじゃ,大蛇
たいしゃく,貸借
たいしゅう,大衆
たいしゅう,体臭
たいじゅう,体重
たいしゅつ,退出
たいしゅつ,帯出
たいしょ,対処
だいしょ,代書
たいしょう,大正
たいしょう,大将
たいしょう,大勝・大×捷
たいしょう,対称
たいしょう,対象
たいしょう,対照
たいしょう,隊商
たいじょう,退場
だいしょう,大小
だいしょう,代償
だいじょうだん,大上段
だいじょうてき,大乗的
だいじょうぶ,大丈夫
だいしょうり,大勝利
たいしょく,大食
たいしょく,退職
だいしょにん,代書人
たいしん,耐震
たいじん,大人
たいじん,対陣
たいじん,退陣
だいじん,大臣
だいず,大豆
だいすう,代数
だいすき,大好き
タイスコア,〔和〕tie-score
たいする,体する
たいする,対する
たいする,帯する
だいする,題する
たいせい,大成
たいせい,大勢
たいせい,体制
たいせい,泰西
たいせい,態勢
たいせいよう,大西洋
たいせき,体積
たいせき,退席
たいせつ,大切
たいせん,大戦
たいせん,対戦
たいぜん,泰然
たいぜんじじゃく,泰然自若
たいそう,体操
たいそう,大層
だいそれた,大それた
たいだ,怠惰
だいたい,大体
だいだい,×橙
だいだい,代代
だいだいてき,大大的
だいたすう,大多数
たいだん,対談
だいたん,大胆
だいだんえん,大団円
だいち,大地
だいち,台地
たいちょう,体調
たいちょう,隊長
だいちょう,大腸
だいちょう,台帳
たいてい,大抵
たいてき,大敵
たいてき,対敵
たいど,態度
たいとう,台頭・×擡頭
たいとう,対等
だいどう,大道
だいどうしょうい,大同小異
だいとうりょう,大統領
たいとく,体得
だいどく,代読
だいどこ,台△所
だいどころ,台所
タイトル,title
たいない,体内
たいない,胎内
だいなし,台無し
ダイナマイト,dynamite
たいにち,対日
たいにち,滞日
だいにっぽん,大日本
たいにん,大任
たいにん,退任
だいにん,代人
たいのう,滞納・怠納
だいのう,大脳
たいは,大破
たいはい,大敗
たいはい,退廃・×頽廃
だいばかり,台×秤
だいはちぐるま,大八車・代八車
たいばつ,体罰
たいはん,大半
たいひ,対比
たいひ,待避
たいひ,退避
たいひ,×堆肥
タイピスト,typist
だいひつ,代筆
たいびょう,大病
だいひょう,代表
だいひょうてき,代表的
ダイビング,diving
たいぶ,大部
タイプ,type
だいぶ,大分
たいふう,台風・×颱風
だいふく,大福
だいふくもち,大福×餅
だいぶつ,大仏
だいぶぶん,大部分
タイプライター,typewriter
だいぶん,大分
たいへい,太平・泰平
たいへいよう,太平洋
たいべつ,大別
たいへん,大変
だいべん,大便
だいべん,代弁
たいほ,退歩
たいほ,逮捕
たいほう,大砲
たいぼう,大望
たいぼう,待望
たいぼう,耐乏
たいぼく,大木
だいほん,台本
たいまつ,〈松明〉
たいまん,怠慢
だいみょう,大名
タイミング,timing
タイム,time
だいめい,題名
だいめいし,代名詞
たいめん,対面
たいめん,体面
たいもう,大望
だいもく,題目
タイヤ,tire
ダイヤ,←diamond
たいやく,大役
ダイヤモンド,diamond
ダイヤル,dial
たいよ,貸与
たいよう,大洋
たいよう,大要
たいよう,太陽
だいよう,代用
だいようしょく,代用食
だいようひん,代用品
たいようれき,太陽暦
たいら,平ら
たいらか,平らか
たいらぐ,平らぐ
たいらげる,平らげる
だいり,内裏
だいり,代理
だいりき,大力
たいりく,大陸
だいりさま,内裏様
だいりせき,大理石
たいりつ,対立
だいりびな,内裏×雛
たいりゃく,大略
たいりゅう,対流
たいりょう,大量
たいりょう,大漁
たいりょく,体力
タイル,tile
たいろ,退路
たいわ,対話
たいわん,台湾
たうえ,田植え
タウン,town
ダウン,down
たえがたい,堪え難い・耐え難い
だえき,×唾液
たえしのぶ,堪え忍ぶ・耐え忍ぶ
たえず,絶えず
たえだえ,絶え絶え
たえて,絶えて
たえま,絶え間
たえる,堪える・耐える
たえる,絶える
だえん,×楕円・×橢円
だえんけい,×楕円形・×橢円形
たおす,倒す
たおる,手折る
タオル,towel
たおれる,倒れる
たか,×鷹
たか,高
たか,多寡
たが,×箍
だが,
たかい,高い
たかい,他界
たがい,互い
だかい,打開
たがいちがい,互い違い
たかいびき,高×鼾
たかがり,×鷹狩り
たかく,多角
たがく,多額
たかくけい,多角形
たかげた,高下△駄
たかごえ,高声
たかさ,高さ
だがし,駄菓子
たかしお,高潮
たかだい,高台
たかだか,高高
だがっき,打楽器
たかどの,高殿
たかとび,高跳び・高飛び
たかなり,高鳴り
たかなる,高鳴る
たかね,高値
たかね,高×嶺
たかねのはな,高×嶺の花
たかひく,高低
たかびしゃ,高飛車
たかぶる,高ぶる・×昂る
たかまくら,高×枕
たかまる,高まる
たかめる,高める
たがやす,耕す
たから,宝・△財
だから,
たからか,高らか
たからぶね,宝船
たからもの,宝物
たかる,
たがる,
たかわらい,高笑い
たき,滝
たぎ,多義
だきあう,抱き合う
だきあげる,抱き上げる
だきあわせ,抱き合わせ
だきあわせる,抱き合わせる
だきおこす,抱き起こす
たきぎ,薪
だきこむ,抱き込む
だきしめる,抱き締める
たきだし,炊き出し・×焚き出し
だきつく,抱き着く
たきつけ,×焚き付け
たきつける,×焚き付ける
たきつぼ,滝×壷
だきとめる,抱き留める
たきび,×焚き火
たきょう,他郷
だきょう,妥協
たぎる,×滾る
たく,×焚く・炊く・×？く
たく,宅
たく,卓
だく,抱く
たくあん,沢×庵
たぐい,△類い
たくえつ,卓越
だくおん,濁音
たくさん,沢山
タクシー,taxi
たくじしょ,託児所
たくじょう,卓上
たくする,託する・×托する
だくする,諾する
たくせつ,卓説
たくぜつ,卓絶
たくそう,託送
だくだく,
たくち,宅地
だくてん,濁点
タクト,tact
たくばつ,卓抜
だくひ,諾否
たくましい,×逞しい
たくみ,巧み
たくむ,△巧む
たくらみ,△企み
たくらむ,△企む
だくりゅう,濁流
たぐりよせる,手繰り寄せる
たぐる,手繰る
たくわえ,蓄え・△貯え
たくわえる,蓄える・△貯える
たくわん,沢×庵
たけ,丈
たけ,竹
だけ,△丈
たけうま,竹馬
たけがき,竹垣
たけがり,×茸狩り
だげき,打撃
たけざいく,竹細工
たけざお,竹×竿・竹×棹
たけだけしい,△猛△猛しい
たけつ,多血
だけつ,妥結
だけど,
だけども,
たけなわ,×酣・×闌
たけのかわ,竹の皮
たけのこ,竹の子・×筍
たけべら,竹×篦
たけぼうき,竹×箒
たけやぶ,竹×薮
たけやり,竹×槍
たけりたつ,×哮り立つ
たける,×哮る
たける,△猛る
だけれど,
だけれども,
たげんてき,多元的
たこ,×凧
たこ,×蛸・〈章魚〉
たこ,〈×胼×胝〉
たご,〈担×桶〉
たこあげ,×凧揚げ
たこう,多幸
たこく,他国
たごん,他言
たさい,多才
たさい,多彩
たさく,多作
ださく,駄作
たさつ,他殺
ださん,打算
たし,△度し
たし,足し
たじ,他事
たじ,多事
だし,出し・〈出汁〉
だし,《山車》
だしあう,出し合う
だしいれ,出し入れ
だしおくれ,出し遅れ
だしおくれる,出し遅れる
たしか,確か・×慥か
たしかめる,確かめる・×慥かめる
たしざん,足し算
だししぶる,出し渋る
たじたじ,
たじつ,他日
たしなみ,×嗜み
たしなむ,×嗜む
たしなめ,×窘め
たしなめる,×窘める
だしぬく,出し抜く
だしぬけ,出し抜け
たしまえ,足し前
たしゃ,多謝
だしゃ,打者
だじゃく,惰弱・×懦弱
たしゅたよう,多種多様
たしょう,多少
たじょう,多情
たじろぎ,
たじろぐ,
だしん,打診
たす,足す
だす,出す
たすう,多数
たすかる,助かる
たすき,×襷
たすきがけ,×襷掛け
たすけ,助け
たすけあい,助け合い
たすけあう,助け合う
たすけぶね,助け船
たすける,助ける・△救ける
たずさえる,携える
たずさわる,携わる
たずねる,尋ねる・×訊ねる・訪ねる
だする,堕する
たぜい,多勢
だせい,惰性
たそがれ,〈黄×昏〉
だそく,蛇足
ただ,△唯・×只
だだ,駄駄
ただい,多大
ただいま,△唯今・×只今
たたえる,△称える・×讚える
たたえる,×湛える
たたかい,戦い・闘い
たたかう,戦う・闘う
たたき,×叩き・×敲き
たたき,〈三和土〉
たたきあげる,×叩き上げる
たたきおこす,×叩き起こす
たたきおとす,×叩き落とす
たたきつける,×叩き付ける
たたきふせる,×叩き伏せる
たたく,×叩く・×敲く
ただごと,△徒事・△唯事・×只事
ただし,但し
ただしい,正しい
ただしがき,但し書き
ただす,正す・△質す・×糺す
たたずまい,×佇まい
たたずむ,×佇む
ただちに,直ちに
だだっこ,駄駄っ子・駄駄っ△児
だだっぴろい,だだっ広い
ただならぬ,△徒ならぬ・×啻ならぬ
ただのり,×只乗り
ただばたらき,×只働き・△徒働き
たたみ,畳
たたみおもて,畳表
たたみがえ,畳替え
たたみかける,畳み掛ける
たたみこむ,畳み込む
たたむ,畳む
ただよう,漂う
ただよわす,漂わす
たたり,×祟り
たたる,×祟る
ただれ,×爛れ
ただれる,×爛れる
たたん,多端
たち,△質
たち,《太刀》
たち,立ち
たち,△達
たちあい,立ち会い・立ち合い
たちあう,立ち会う・立ち合う
たちあがり,立ち上がり
たちあがる,立ち上がる
たちい,立ち居
たちいふるまい,立ち居振舞い
たちいり,立ち入り
たちいる,立ち入る
たちうち,《太刀》打ち
たちおうじょう,立ち往生
たちおくれ,立ち遅れ・立ち後れ
たちおくれる,立ち遅れる・立ち後れる
たちかえる,立ち返る
たちがれ,立ち枯れ
たちき,立ち木
たちぎえ,立ち消え
たちぎき,立ち聞き
たちきる,断ち切る・裁ち切る
たちぐい,立ち食い
たちぐされ,立ち腐れ
たちさる,立ち去る
たちさわぐ,立ち騒ぐ
たちすくむ,立ち×竦む
たちつづける,立ち続ける
たちどおし,立ち通し
たちどころに,立ち所に
たちどまる,立ち止まる
たちなおる,立ち直る
たちならぶ,立ち並ぶ
たちのき,〈立ち退き〉
たちのく,《立ち退く》
たちのぼる,立ち上る
たちば,立場
たちはだかる,立ちはだかる
たちはたらき,立ち働き
たちはたらく,立ち働く
たちばな,×橘
たちばなし,立ち話
たちはばとび,立ち幅跳び
たちばん,立ち番
たちふさがる,立ち×塞がる
たちまち,×忽ち
たちまわり,立ち回り
たちまわる,立ち回る
たちむかう,立ち向かう
たちもち,《太刀》持ち
だちょう,×駝鳥
たちよる,立ち寄る
だちん,駄賃
たちんぼう,立ちん坊
たつ,立つ
たつ,建つ
たつ,△発つ
たつ,経つ
たつ,絶つ
たつ,裁つ
たつ,竜
たつい,達意
だつい,脱衣
だっかい,奪回
たっかん,達観
だっかん,奪還
だっきゃく,脱却
たっきゅう,卓球
だっきゅう,脱×臼
ダッグアウト,〔米〕dugout
タックル,tackle
だっけ,
たっけん,卓見
だっこ,抱っこ
だっこう,脱稿
だっこく,脱穀
だつごく,脱獄
たっし,達し・達示
だっしめん,脱脂綿
たっしゃ,達者
だっしゅ,奪取
ダッシュ,dash
だっしゅつ,脱出
たつじん,達人
だっすい,脱水
たっする,達する
だっする,脱する
たっせい,達成
だつぜい,脱税
だっせん,脱線
だっそう,脱走
たった,
だったい,脱退
タッチ,touch
タッチアウト,〔和〕touch out
たって,
だって,
たっとい,尊い・貴い
だっとう,脱党
たっとぶ,尊ぶ・貴ぶ
たづな,手綱
だっぴ,脱皮
たっぴつ,達筆
たっぷり,
だつぼう,脱帽
たつまき,竜巻
だつもう,脱毛
だつらく,脱落
だつりゃく,奪略・奪×掠
たて,建て
たて,盾・×楯
たて,縦・×竪
たて,立て
だて,〈伊達〉
たていた,立て板
たていと,縦糸・△経糸
たてかえ,立て替え
たてかえる,立て替える
たてがき,縦書き
たてかける,立て掛ける
たてがみ,×鬣
たてぐ,建具
たてごと,×竪琴
たてこもる,立て×篭もる
たてつく,×楯突く
たてつけ,立て付け
たてつぼ,立坪
たてなおす,立て直す・建て直す
たてひざ,立て×膝
たてふだ,立て札
たてまえ,建て前
たてまし,建て増し
たてまつる,奉る
たてもの,建物
たてよこ,縦横
たてる,立てる・建てる
だでん,打電
たとい,〈仮令〉・〈縦令〉
だとう,打倒
だとう,妥当
たとえ,×譬え・×喩え
たとえ,〈仮令〉・〈縦令〉
たとえば,例えば
たとえる,×譬える・×喩える
たどたどしい,
たどりつく,×辿り着く
たどる,×辿る
たどん,△炭△団
たな,△店
たな,棚
たなあげ,棚上げ
たなおろし,△店卸し・棚卸し
たなごころ,△掌
たなばた,《七夕》・棚機
たなびく,棚引く
たなん,多難
たに,谷
だに,〈壁×蝨〉
だに,
たにあい,谷△間
たにがわ,谷川
たにし,田×螺
たにそこ,谷底
たにま,谷間
たにん,他人
たにんずう,多人数
たぬき,×狸
たぬきねいり,×狸寝入り
たね,種
たねあかし,種明かし
たねあぶら,種油
たねいた,種板
たねいも,種芋
たねうし,種牛
たねうま,種馬
たねがしま,〈種子〉島
たねぎれ,種切れ
たねほん,種本
たねまき,種×蒔き
たねん,他年
たねん,多年
たねんせい,多年生
たのしい,楽しい
たのしみ,楽しみ
たのしむ,楽しむ
たのみ,頼み
たのむ,頼む
たのもしい,頼もしい
たば,束
だは,打破
だば,駄馬
たばかり,△謀り
たばかる,△謀る
タバコ,〔葡〕tabaco
タバコぼん,タバコ盆
たはた,田畑
たばねる,束ねる
たび,度
たび,旅
たび,《足袋》
たびげいにん,旅芸人
たびごころ,旅心
たびさき,旅先
たびじ,旅路
たびじたく,旅支度
たびだち,旅立ち
たびだつ,旅立つ
たびたび,度度
たびはだし,《足袋》×跣
たびびと,旅人
タフ,tough
タブー,taboo
だぶだぶ,
だぶつく,
たぶらかす,×誑かす
ダブる,
ダブル,double
ダブルヘッダー,〔米〕doubleheader
たぶん,他聞
たぶん,多分
たべすぎ,食べ過ぎ
たべつける,食べ付ける
たべもの,食べ物
たべる,食べる
たべん,多弁
だべん,駄弁
たほう,他方
たぼう,多忙
たほうめん,多方面
だぼく,打撲
だぼら,駄△法×螺
たま,玉・△珠・球
たま,
たまいれ,玉入れ
たまう,△賜う・△給う
だまかす,×騙かす
たまぐし,玉×串
たまげる,△魂△消る
たまご,卵・玉子
たまさか,
たまざん,玉算・△珠算
だまし,×騙し
たましい,魂・△霊
だましうち,×騙し討ち
たまじゃり,玉《砂利》
だます,×騙す
たまたま,
たまつき,玉突き
たまてばこ,玉手箱
たまねぎ,玉×葱
たまのり,玉乗り・球乗り
たままつり,霊祭り・△魂祭り
たまもの,△賜・△賜物
たまらない,
たまり,×溜まり
たまりかねる,△堪り兼ねる
たまりみず,×溜まり水
たまる,×溜まる・△堪る
だまる,黙る
たまわる,賜る・△給わる
たみ,民
だみん,惰眠
ダム,dam
たむけ,手向け
たむける,手向ける
たむし,田虫
ため,△為
ため,×溜め
だめ,駄目
ためいき,×溜め息
ためいけ,×溜め池
ためおけ,溜め×桶
ためし,△例
ためし,試し・△験し
ためす,試す・△験す
ためらい,〈×躊×躇〉い
ためらう,〈×躊×躇〉う
ためる,×溜める
ためる,矯める
ためん,他面
ためん,多面
ためんてき,多面的
たも,
たもつ,保つ
たもと,×袂
たやす,絶やす
たやすい,
たゆう,〈太夫〉・〈大夫〉
たゆむ,×弛む
たよう,他用
たよう,多用
たよう,多様
たより,便り
たより,頼り
たよる,頼る・△便る
たら,×鱈
たらい,×盥
だらく,堕落
だらけ,
だらける,
だらしない,
たらす,垂らす
たらたら,
だらだら,
タラップ,〔蘭〕trap
たらふく,
たらり,
だらり,
たり,
たりき,他力
たりきほんがん,他力本願
たりつ,他律
ダリア,dahlia
たりょう,多量
だりょく,惰力
たりる,足りる
たる,足る
たる,×樽
だるい,
たるき,△垂木・×？
だるま,〔梵〕△達磨
だるまはこび,△達磨運び
たるみ,×弛み
たるむ,×弛む
たるめる,×弛める
たれ,垂れ
だれ,×誰
だれか,×誰か
だれかれ,×誰彼
だれぎみ,だれ気味
たれさがる,垂れ下がる
だれそれ,×誰それ
たれる,垂れる
だれる,
タレント,talent
だろう,
たわいない,たわい無い
たわけ,△戯け
たわごと,△戯言
たわし,△束子
たわむ,×撓む
たわむれ,戯れ
たわむれる,戯れる
たわめる,×？める
たわら,俵
たわわ,
たん,胆
たん,短
たん,×痰
だん,団
だん,男
だん,段
だん,断
だん,暖
だん,談
だん,壇
だんあつ,弾圧
たんい,単位
たんいつ,単一
だんいん,団員
たんか,担架
たんか,単価
たんか,炭化
たんか,短歌
たんか,×啖×呵
タンカー,tanker
だんかい,段階
だんがい,断×崖
だんがい,弾劾
たんがん,単眼
たんがん,嘆願・×歎願
だんがん,弾丸
たんき,単記
たんき,短気
たんき,短期
たんきゅう,探求・探究
たんきょり,短距離
タンク,tank
タングステン,tungsten
たんぐつ,短靴
だんけつ,団結
たんけん,探検・探険
たんげん,単元
だんげん,断言
たんご,単語
たんご,端午
タンゴ,tango
だんこ,断固・断×乎
だんご,団子
たんこう,炭坑
たんこう,炭鉱・×炭砿
だんこう,団交
だんこう,断交
だんこう,断行
だんごう,談合
たんこうぼん,単行本
たんざ,端座・端×坐
ダンサー,dancer
たんさい,淡彩
たんさく,探索
たんざく,短冊・短△尺
たんさん,炭酸
たんさんガス,炭酸ガス
たんさんすい,炭酸水
だんし,男子
だんじ,男児
たんじかん,短時間
たんしき,単式
だんじき,断食
たんじじつ,短時日
たんじつげつ,短日月
だんじて,断じて
たんじゅう,短銃
たんしゅく,短縮
たんじゅん,単純
たんしょ,短所
たんしょ,端緒・端初
だんじょ,男女
たんじょう,誕生
だんしょう,談笑
たんじょうかい,誕生会
たんじょうび,誕生日
たんじる,嘆じる・×歎じる
だんじる,断じる
だんじる,弾じる
だんじる,談じる
たんしん,単身
たんしん,短針
たんす,×箪×笥
ダンス,dance
たんすい,淡水
だんすい,断水
たんすう,単数
たんずる,嘆ずる・×歎ずる
だんずる,断ずる
だんずる,弾ずる
だんずる,談ずる
たんせい,丹精
たんせい,嘆声・×歎声
たんせい,端正
だんせい,男性
だんせい,弾性
だんせいてき,男性的
だんぜつ,断絶
たんぜん,丹前
たんぜん,端然
だんせん,断線
だんぜん,断然
たんそ,炭素
たんそう,炭層
だんそう,男装
だんそう,断層
たんそく,嘆息・×歎息
だんぞく,断続
だんたい,団体
だんだら,段だら
だんだん,段段
だんだんばたけ,段段畑
たんち,探知
だんち,団地
だんちがい,段違い
たんちょ,端緒
たんちょう,単調
だんちょう,団長
だんちょう,断腸
たんつぼ,×痰×壷
たんてい,探偵
だんてい,断定
ダンディー,dandy
たんてき,端的
たんでん,炭田
たんと,
たんとう,担当
たんとう,短刀
たんどく,単独
だんどり,段取り
だんな,〔梵〕×旦×那・×檀×那
たんなる,単なる
たんに,単に
たんにん,担任
たんねん,丹念
だんねん,断念
たんのう,△堪能
たんぱ,短波
たんぱく,淡白・淡泊
たんぱくしつ,×蛋白質
だんぱつ,断髪
タンバリン,tambourine
だんぱん,談判
ダンピング,dumping
ダンプカー,←dump truck
たんぷく,単複
たんぶん,単文
たんぶん,短文
たんぺん,短編・短×篇
だんぺん,断片
だんぺんてき,断片的
たんぼ,田×圃
たんぽ,担保
たんぼう,探訪
だんぼう,暖房・×煖房
たんぽぽ,〈×蒲公英〉
たんぼみち,田×圃道
だんまつま,断末魔
たんまり,
だんまり,
たんめい,短命
だんめん,断面
たんもの,反物
だんやく,弾薬
だんらく,段落
だんらん,団×欒
だんりゅう,暖流
たんりょ,短慮
たんりょく,胆力
だんりょく,弾力
たんれい,端麗
たんれん,鍛練・鍛錬
だんろ,暖炉・×煖炉
だんわ,談話
ち,血
ち,地
ち,知
ち,治
チアガール,〔和〕cheer girl
ちあん,治安
ちい,地位
ちいき,地域
ちいく,知育
ちいさい,小さい
ちいさな,小さな
チーズ,cheese
ちいちい,
チーフ,chief
チーム,team
チームワーク,team-work
ちえ,知恵・×智×慧
チェアー,chair
チェーン,chain
チェーンストア,chain store
チェック,check
チェロ,←〔伊〕violoncello
ちえん,遅延
チェンジ,change
ちか,地下
ちか,地価
ちかい,近い
ちかい,誓い
ちかい,地階
ちがい,違い
ちかう,誓う
ちがいない,違いない
ちがう,違う
ちがえ,違え
ちがえる,違える
ちかく,近く
ちかく,地殼
ちかく,知覚
ちかけい,地下茎
ちかごろ,近×頃
ちかしつ,地下室
ちかすい,地下水
ちかちか,
ちかぢか,近近
ちかづき,近付き
ちかづく,近付く
ちかづける,近付ける
ちかてつ,地下鉄
ちかどう,地下道
ちかみち,近道
ちかめ,近目・近△眼
ちかよせる,近寄せる
ちかよる,近寄る
ちから,力
ちからいっぱい,力一杯
ちからおとし,力落とし
ちからかんけい,力関係
ちからこぶ,力×瘤
ちからしごと,力仕事
ちからずく,力ずく
ちからぞえ,力添え
ちからだめし,力試し
ちからづく,力付く
ちからづける,力付ける
ちからづよい,力強い
ちからぬけ,力抜け・力△脱け
ちからまかせ,力任せ
ちからもち,力持ち
ちかん,痴漢
ちき,知己
ちきゅう,地球
ちきゅうぎ,地球儀
ちきょうだい,乳兄弟
ちぎり,契り
ちぎる,契る
ちぎる,千切る
ちぎれぐも,千切れ雲
ちぎれちぎれ,
ちぎれる,千切れる
ちく,地区
ちくいち,逐一
ちぐう,知遇
ちくおんき,蓄音器
ちぐさ,千草
ちくさん,畜産
ちくじ,逐次
ちくしょう,畜生
ちくせき,蓄積
ちくちく,
ちくでんち,蓄電池
ちくねん,逐年
ちくば,竹馬
ちぐはぐ,
ちくばのとも,竹馬の友
ちくび,乳首
ちくり,
ちくわ,竹輪
ちけい,地形
チケット,ticket
ちご,《稚児》
ちこく,遅刻
ちさん,遅参
ちし,地誌
ちし,致死
ちじ,知事
ちしお,血潮・血×汐
ちしき,知識
ちじく,地軸
ちしつ,地質
ちしゃ,知者・×智者
ちじょう,地上
ちじょく,恥辱
ちしりょう,致死量
ちじん,知人
ちず,地図
ちすい,治水
ちすじ,血筋
ちせい,知性
ちせい,地勢
ちそ,地租
ちそう,地層
ちそう,×馳走
ちそく,遅速
ちたい,地帯
ちたい,遅滞
ちち,父
ちち,乳
ちち,遅遅
ちぢ,千千
ちちうえ,父上
ちちうし,乳牛
ちちおや,父親
ちぢかむ,縮かむ
ちちくさい,乳臭い
ちちくび,乳首
ちぢこまる,縮こまる
ちちち,
ちちちち,
ちちはは,父母
ちぢまる,縮まる
ちぢみ,縮み
ちぢみあがる,縮み上がる
ちぢむ,縮む
ちぢめる,縮める
ちちゅう,地中
ちぢれ,縮れ
ちぢれる,縮れる
チッキ,←check
チック,←cosmetic
ちっこう,築港
ちつじょ,秩序
ちっそ,窒素
ちっそく,窒息
ちっちっ,
ちっと,
ちっとも,
チップ,tip（心づけ）
チップ,tip（野球用語）
ちっぽけ,
ちてい,地底
ちてき,知的
ちてん,地点
ちとく,知徳
ちどめ,血止め
ちどめぐすり,血止め薬
ちどり,千鳥
ちなまぐさい,血×腥い
ちなみ,△因
ちなむ,△因む
ちねつ,地熱
ちのう,知能・×智能
ちのけ,血の気
ちのみご,乳飲み子・乳×呑み子
ちはい,遅配
ちばしる,血走る
ちばなれ,乳離れ
ちび,
ちびちび,
ちびっこ,
ちひょう,地表
ちびり,
ちびる,×禿びる
ちぶさ,乳房
チフス,〔独〕Typhus
ちへいせん,地平線
ちほ,地歩
ちほう,地方
ちぼう,知謀・×智謀
ちほうしょく,地方色
ちまき,×粽
ちまた,×巷
ちまなこ,血眼
ちまみれ,血△塗れ
ちまよう,血迷う
ちみ,地味
ちみつ,×緻密
ちみどろ,血みどろ
ちめい,地名
ちめい,知名
ちめいしょう,致命傷
ちゃ,茶
チャーハン,〔中〕×炒飯
チャーミング,charming
チャイム,chime
ちゃいろ,茶色
ちゃか,茶菓
ちゃがし,茶菓子
ちゃかす,茶化す
ちゃがま,茶×釜
ちゃがら,茶殼
ちゃき,茶器
ちゃきちゃき,
ちゃく,着
ちゃくい,着意
ちゃくがん,着眼
ちゃくざ,着座
ちゃくし,嫡子
ちゃくじつ,着実
ちゃくしゅ,着手
ちゃくしょく,着色
ちゃくする,着する・△著する
ちゃくせき,着席
ちゃくそう,着想
ちゃくちゃく,着着
ちゃくにん,着任
ちゃくふく,着服
ちゃくもく,着目
ちゃくよう,着用
ちゃくりく,着陸
ちゃしつ,茶室
ちゃだい,茶代
ちゃだんす,茶×箪×笥
ちゃち,
ちゃっかり,
チャック,chuck
ちゃづけ,茶漬け
ちゃっちゃっ,
ちゃつみ,茶摘み
ちゃどう,茶道
ちゃのま,茶の間
ちゃのゆ,茶の湯
ちゃびん,茶瓶
ちゃぶだい,△卓×袱台
チャボ,〔越〕〈×矮鶏〉
ちやほや,
ちゃま,
ちゃみせ,茶店
ちゃめ,茶目
ちゃや,茶屋
ちゃらちゃら,
チャルメラ,〔葡〕charamela
チャレンジ,challenge
ちゃわかい,茶話会
ちゃわん,茶×碗
ちゃん,
チャンス,chance
ちゃんちゃらおかしい,
ちゃんちゃんこ,
ちゃんと,
チャンネル,channel
ちゃんばら,
チャンピオン,champion
ちゅう,中
ちゅう,宙
ちゅう,忠
ちゅう,注
ちゅう,中
ちゅうい,注意
ちゅういぶかい,注意深い
チューインガム,chewing gum
ちゅうおう,中央
ちゅうか,中華
ちゅうかい,仲介
ちゅうがえり,宙返り
ちゅうかく,中核
ちゅうがく,中学
ちゅうがくせい,中学生
ちゅうがた,中形・中型
ちゅうがっこう,中学校
ちゅうかみんこく,中華民国
ちゅうかん,中間
ちゅうかん,昼間
ちゅうぎ,忠義
ちゅうきゅう,中級
ちゅうきょう,中共
ちゅうきん,忠勤
ちゅうくう,中空
ちゅうけい,中継
ちゅうけん,中堅
ちゅうげん,中元
ちゅうこ,中古
ちゅうこう,中興
ちゅうこう,忠孝
ちゅうこく,忠告
ちゅうごく,中国
ちゅうごくご,中国語
ちゅうごくじん,中国人
ちゅうざ,中座
ちゅうさい,仲裁
ちゅうざい,駐在
ちゅうし,中止
ちゅうし,注視
ちゅうじえん,中耳炎
ちゅうじき,中食・昼食
ちゅうじく,中軸
ちゅうじつ,忠実
ちゅうしゃ,注射
ちゅうしゃ,駐車
ちゅうしゃく,注釈・×註釈
ちゅうしゃじょう,駐車場
ちゅうしゅう,中秋
ちゅうしゅつ,抽出
ちゅうじゅん,中旬
ちゅうしょう,中傷
ちゅうしょう,抽象
ちゅうじょう,衷情
ちゅうしょうきぎょう,中小企業
ちゅうしょうてき,抽象的
ちゅうしょく,昼食・中食
ちゅうしん,中心
ちゅうしん,忠臣
ちゅうしん,注進
ちゅうしん,衷心
ちゅうすう,中枢
ちゅうせい,中世
ちゅうせい,中正
ちゅうせい,中性
ちゅうせい,忠誠
ちゅうせき,柱石
ちゅうぜつ,中絶
ちゅうせん,抽選・抽×籤
ちゅうぞう,鋳造
ちゅうだん,中段
ちゅうだん,中断
ちゅうちゅう,
ちゅうちょ,×躊×躇
ちゅうてん,中天
ちゅうてん,中点
ちゅうと,中途
ちゅうとう,中等
ちゅうどく,中毒
ちゅうとはんぱ,中途半端
ちゅうにち,中日
ちゅうにゅう,注入
ちゅうねん,中年
ちゅうばいか,虫媒花
ちゅうぶ,中部
チューブ,tube
ちゅうふう,中風
ちゅうぶう,中風
ちゅうふく,中腹
ちゅうぶらりん,中ぶらりん・宙ぶらりん
ちゅうぶる,中古
ちゅうべい,中米
ちゅうもく,注目
ちゅうもん,注文・×註文
ちゅうや,昼夜
ちゅうやけんこう,昼夜兼行
ちゅうよう,中庸
ちゅうりつ,中立
チューリップ,tulip
ちゅうりゃく,中略
ちゅうりゅう,中流
ちゅうりゅう,駐留
ちゅうれいとう,忠霊塔
ちゅうわ,中和
ちゅっちゅっ,
ちゅんちゅん,
ちよ,千代
ちょ,著
ちょいちょい,
ちょいと,
ちょう,丁
ちょう,庁
ちょう,兆
ちょう,町
ちょう,長
ちょう,鳥
ちょう,腸
ちょう,×蝶
ちょう,×梃・×挺
ちょう,超
ちょうい,弔意
ちょういん,調印
ちょうえき,懲役
ちょうえつ,超越
ちょうおん,長音
ちょうおんき,聴音機
ちょうか,超過
ちょうかい,町会
ちょうかい,朝会
ちょうかい,懲戒
ちょうかく,頂角
ちょうかく,聴覚
ちょうカタル,腸カタル
