見出し,表記
あてじ,当て字・×宛字
あてつけ,当て付け
あてつける,当て付ける
あてっこ,当てっこ
あてな,あて名・×宛名
あてはずれ,当て外れ
あてはまる,当て×嵌まる
あてはめる,当て×嵌める
あでやか,×艶やか
あてる,当てる・充てる・×宛てる
あと,後
あと,跡
あとあし,後足・後△肢
あとあじ,後味
あとおし,後押し
あとがき,後書き
あとかた,跡形
あとかたづけ,跡片付け・後片付け
あとがま,後×釜
あどけない,
あとさき,後先
あとじさり,後△退り
あとしまつ,跡始末・後始末
あとずさり,後△退り
あとつぎ,跡継ぎ・後継ぎ
あとのまつり,後の祭り
アドバイス,advice
アドバルーン,〔和〕ad balloon
あとまわし,後回し・後×廻し
アトム,atom
あともどり,後戻り
アトリエ,〔仏〕atelier
あな,穴・△孔
あなうめ,穴埋め
アナウンサー,announcer
アナウンス,announce
あながち,
あなぐら,穴蔵・×窖
あなた,〈彼方〉
あなた,〈貴方〉
あなどり,侮り
あなどる,侮る
あに,兄
あにうえ,兄上
あにき,兄貴
アニメ,←animation
あによめ,兄嫁・×嫂
あね,姉
あねうえ,姉上
あねったい,亜熱帯
アネモネ,anemone
あの,
あのね,
あのよ,△彼の世
アパート,←apartment house
あばく,暴く・△発く
あばた,〔梵〕〈痘×痕〉
あはは,
あばよ,
あばらぼね,×肋骨
あばらや,あばら屋・あばら家
あばれ,暴れ
あばれもの,暴れ者
あばれる,暴れる
あび,浴び
アピール,appeal
あびせる,浴びせる
あひる,〈家×鴨〉
あびる,浴びる
あぶ,×虻
アフターケア,aftercare
アフターサービス,〔和〕after service
あぶない,危ない
あぶら,油・脂・×膏
あぶらあげ,油揚げ
あぶらあせ,脂汗
あぶらえ,油絵
あぶらけ,油気・脂気
あぶらげ,油△揚
あぶらぜみ,油×蝉
あぶらな,油菜
あぶらむし,油虫
アフリカ,Africa
あぶりだし,×炙り出し
あぶる,×炙る・×焙る
あふれる,×溢れる
あぶれる,
あべこべ,
あへん,〔中〕×阿片・×鴉片
あほう,×阿△房・×阿×呆
あま,〔梵〕尼
あま,雨
あま,〈海人〉・《海女》・×蜑
あま,亜麻
あまあし,雨脚・雨足
あまい,甘い
あまえ,甘え
あまえる,甘える
あまがいとう,雨外×套
あまがえる,雨×蛙
あまがき,甘×柿
あまがさ,雨傘
あまガッパ,雨ガッパ
あまぎ,雨着
あまぐ,雨具
あまくち,甘口
あまぐも,雨雲
あまごい,雨×乞い
あまざけ,甘酒・×醴
あまざらし,雨×曝し
あます,余す
あまた,〈数多〉
あまだれ,雨垂れ
アマチュア,amateur
あまつさえ,△剰え
あまったるい,甘ったるい
あまでら,尼寺
あまど,雨戸
あまどい,雨×樋
あまとう,甘党
あまなっとう,甘納豆
あまねく,△遍く・△普く・×洽く
あまのがわ,天の川・天の河・〈天漢〉
あまのじゃく,天の邪△鬼
あまみず,雨水
あまもよう,雨模様
あまもり,雨漏り
あまやかす,甘やかす
あまやどり,雨宿り
あまよけ,雨△避け
あまり,余り
あまる,余る
あまんじる,甘んじる
あまんずる,甘んずる
あみ,網
あみ,編み
あみあげぐつ,編み上げ靴
あみがさ,編み×笠
あみだ,〔梵〕×阿×彌×陀
あみだな,網棚
あみど,網戸
あみぼう,編み棒
あみめ,編み目・網目
あみもの,編み物
あむ,編む
あめ,雨
あめ,×飴
あめあがり,雨上がり
アメーバ,〔独〕Amo¨be
あめかぜ,雨風
あめつち,天△地
あめふり,雨降り
あめもよう,雨模様
アメリカ,America
あやうい,危うい
あやかる,
あやしい,怪しい・×妖しい
あやしむ,怪しむ
あやす,
あやつりにんぎょう,操り人形
あやつる,操る
あやとり,×綾取り
あやぶむ,危ぶむ
あやふや,
あやまち,過ち
あやまつ,過つ
あやまり,誤り・×謬り
あやまる,誤る・×謬る
あやまる,謝る
あやめ,〈×菖×蒲〉
あゆ,×鮎
あゆみ,歩み
あゆみよる,歩み寄る
あゆむ,歩む
あら,
あらあらしい,荒荒しい
あらい,洗い
あらい,荒い
あらい,粗い
あらいこ,洗い粉
あらいざらい,洗い×浚い
あらいはり,洗い張り
あらう,洗う
あらうみ,荒海
あらかじめ,△予め
あらかた,粗方
あらくれる,荒くれる
あらけずり,粗削り・荒削り
あらさがし,あら捜し
あらし,×嵐
あらし,荒らし
あらす,荒らす
あらすじ,粗筋・荒筋
あらそい,争い
あらそう,争う
あらた,新た
あらだてる,荒立てる
あらたまる,改まる・△革まる
あらため,改め
あらためて,改めて
あらためる,改める
あらっぽい,荒っぽい
あらて,新手
あらなみ,荒波
あらなわ,荒縄
あらばこそ,有らばこそ
アラビア,Arabia
あらまし,
あらむしゃ,荒武者
あらものや,荒物屋
あらゆる,
あられ,×霰
あらわ,△露・△顕
あらわす,表す・現す・△顕す
あらわす,著す
あらわれ,表れ・現れ
あらわれる,表れる・現れる・△顕れる
あり,×蟻
ありあけ,有明
ありあまる,有り余る
ありあり,
ありあわせ,有り合わせ
ありか,在△処
ありかた,在り方
ありがたい,有り難い
ありがち,有り勝ち
ありがとう,有難う
ありきたり,在り来り
ありさま,有様
ありたけ,
ありつく,
ありったけ,
ありとあらゆる,
ありのまま,有りの×侭
アリバイ,alibi
ありふれる,有り触れる
ありふれた,
ありゅう,亜流
ありゅうさん,亜硫酸
ある,有る・在る
ある,×或る
あるいは,×或いは
アルカリ,〔蘭〕alkali
あるき,歩き
あるきだす,歩き出す
あるきまわる,歩き回る
あるく,歩く
アルコール,〔蘭〕alcohol
あるじ,△主
アルト,〔伊〕alto
アルバイト,〔独〕Arbeit
アルバム,album
アルファ,〔希〕Α・α
アルファベット,alphabet
アルマイト,〔和〕Alumite
アルミ,←〔蘭〕aluminium
アルミニウム,〔蘭〕aluminium
あれ,荒れ
あれ,
あれ,
あれえ,
あれこれ,△彼△是
あれち,荒れ地
あれの,荒れ野
あれはてる,荒れ果てる
あれほど,△彼程
あれよあれよ,
あれる,荒れる
あわ,泡
あわ,×粟
あわい,淡い
あわす,合わす
あわせ,×袷
あわせる,合わせる・併せる
あわせる,会わせる
あわただしい,慌ただしい・×遽しい
あわだつ,泡立つ
あわだてる,泡立てる
あわつぶ,×粟粒
あわて,慌て
あわてふためく,慌てふためく
あわてもの,慌て者
あわてる,慌てる・〈周章てる〉
あわび,×鮑・×鰒
あわや,
あわゆき,淡雪
あわよくば,
あわれ,哀れ・×憐れ
あわれみ,哀れみ・×憐れみ
あわれむ,哀れむ・×憐れむ
あん,案
あん,×餡
あんあんり,暗暗裏・暗暗×裡
あんい,安易
あんうん,暗雲
あんえい,暗影・暗×翳
あんか,安価
あんがい,案外
あんかん,安閑
あんき,安危
あんき,暗記・×諳記
あんぎゃ,行脚
あんぐり,
アングロサクソン,Anglo-Saxon
アンケート,〔仏〕enque´te
あんこ,×餡こ
あんごう,暗号
アンコール,〔仏〕encore
あんこく,暗黒
あんさつ,暗殺
あんざん,安産
あんざん,暗算
あんざんがん,安山岩
アンサンブル,〔仏〕ensemble
あんじ,暗示
あんしつ,暗室
あんじゅう,安住
あんしゅつ,案出
あんしょう,暗唱・×諳×誦
あんしょう,暗礁
あんじる,案じる
あんしん,安心・安神
あんずる,案ずる
あんせい,安静
あんぜん,安全
あんそく,安息
あんた,〈貴方〉
あんだ,安打
アンダーシャツ,undershirt
アンダーライン,underline
あんたい,安泰
あんち,安置
あんちゃく,安着
あんちょく,安直
あんてい,安定
アンテナ,antenna
あんど,安×堵
あんどん,行△灯
あんな,
あんない,案内
あんないじょう,案内状
あんに,暗に
あんのじょう,案の定
あんのん,安穏
あんばい,△塩梅・×按配
アンパイア,umpire
アンバランス,unbalance
あんパン,×餡パン
あんぴ,安否
アンペア,ampere
あんま,×按摩
あんまく,暗幕
あんまり,
あんみん,安眠
あんもく,暗黙
あんもち,×餡×餅
アンモニア,〔蘭〕ammonia
あんや,暗夜・×闇夜
あんやく,暗躍
あんらく,安楽
あんるい,暗涙
い,衣
い,位
い,医
い,威
い,胃
い,異
い,意
いあつ,威圧
いあわす,居合わす
いあわせる,居合わせる
いあん,慰安
いい,△善い・△良い・△好い
いいあい,言い合い
いいあう,言い合う
いいあやまり,言い誤り
いいあやまる,言い誤る
いいあらわす,言い表す・言い△顕す
いいえ,
いいかえ,言い替え
いいかえし,言い返し
いいかえす,言い返す
いいかえる,言い替える
いいがかり,言い掛かり
いいかけ,言い掛け
いいかける,言い掛ける
いいかげん,いい加減
いいかた,言い方
いいかわす,言い交わす
いいきかせ,言い聞かせ
いいきかせる,言い聞かせる
いいきる,言い切る
いいぐさ,言い草・言い△種
いいくるめる,言いくるめる
いいしぶる,言い渋る
いいすぎ,言い過ぎ
いいすぎる,言い過ぎる
いいすて,言い捨て
いいすてる,言い捨てる
